username, created_at, lng, lat, text
RussellKimball9, Fri Feb 05 19:42:17 +0000 2021, -122.285462, 47.206440, @StSabinaSteele Just followed you on many vids 
StableG00111688, Fri Feb 05 19:42:18 +0000 2021, -123.358379, 48.426730, What an epic loss. 
hannahhussle, Fri Feb 05 19:42:19 +0000 2021, -120.882482, 47.273022, 😂😂😂😂 
missgemmaeve, Fri Feb 05 19:42:24 +0000 2021, -122.330602, 47.614817, after spending literally two hours trying to find parking and missing class for it, i parked in a garage and spent… https://t.co/M1KsjJPkDx 
steveh365, Fri Feb 05 19:42:26 +0000 2021, -120.882482, 47.273022, ✨ There’s a special referral event going on in the #Webull mobile app 😍 Participate to win awesome prizes! https://t.co/VQGCXTopNq 
EatMagazine, Fri Feb 05 19:42:32 +0000 2021, -123.364500, 48.428700, Just posted a photo @ Victoria, British Columbia https://t.co/CBFW5n11sv 
tmj_IDN_retail, Fri Feb 05 19:43:01 +0000 2021, -116.588876, 43.610631, Bed Bath &amp; Beyond is hiring in Nampa, ID! Read about our latest #Retail job opening via the link in our bio: Retail… https://t.co/FZQXcdrHN0 
Justice_sf14, Fri Feb 05 19:45:52 +0000 2021, -122.074875, 47.743503, @nikkiii_x0 YES! amazes me every damn time 
terileemcclain, Fri Feb 05 19:45:57 +0000 2021, -122.330602, 47.614817, Can all news stations from Washington State down to California, across to Florida and up to Maine tell tv viewers:… https://t.co/IF0fgFgi1i 
ivy_malone, Fri Feb 05 19:45:59 +0000 2021, -122.330602, 47.614817, If I’ve been avoiding you it’s because of one of two things:1) I just got tested for covid2) I’m avoiding you 
FridayTea, Fri Feb 05 19:46:07 +0000 2021, -122.330602, 47.614817, Do you enjoy friendship and small businesses and BONKERS stories? Yeah, we got those. Thank you to @LightheartAdv f… https://t.co/xS93Kl791X 
Chimaera000, Fri Feb 05 19:46:09 +0000 2021, -120.583402, 44.145437, When I was maybe ten I read a book about Victorian jockey Fred Archer, who was referred to throughout as "Uncle F--… https://t.co/Ww7kpb26Nf 
tmj_wa_eng, Fri Feb 05 19:46:13 +0000 2021, -122.171758, 47.615044, Oracle is looking for teammates like you. See our latest #Engineering job openings, including "Oracle Solution Engi… https://t.co/H7jvByaied 
PalaceLaw, Fri Feb 05 19:46:25 +0000 2021, -122.544736, 47.215098, @sglassmeyer @JoshuaLenon Thank you @sglassmeyer 🙏 
yakimajack50, Fri Feb 05 19:46:31 +0000 2021, -120.529760, 46.594223, I do like what President Biden is doing. But here in Yakima it’s not the troops we need. It’s not to help with nurs… https://t.co/TOJm9YSYKL 
BlackSeaTruck, Fri Feb 05 19:46:34 +0000 2021, -122.164527, 48.088757, Sometimes you just want a good ole juicy cheezy burger. Find us tonight at @cruciblebrewing for #foodtruckfriday fr… https://t.co/0HPJHDijvj 
terileemcclain, Fri Feb 05 19:46:43 +0000 2021, -122.330602, 47.614817, @oprahmagazine This family is : 🤩🤩🤩 https://t.co/MMbLfMUpCv 
gmblake, Fri Feb 05 19:46:46 +0000 2021, -120.583402, 44.145437, @JHopkinsSD @CoachMirabal is an absolute class act! Met him in a Vegas elevator and he recognized me at the grocery… https://t.co/30SiHhRqJa 
Austin76162286, Fri Feb 05 19:46:50 +0000 2021, -120.583402, 44.145437, @randy_caplinger thanks for following me Randy you are awesome 😎 
DrKSampsell, Fri Feb 05 19:46:54 +0000 2021, -122.489100, 48.198639, And a really great crossword from Eric Agard today. Erudite, just the way I like them. #NYTXW 
devankhoma, Fri Feb 05 19:47:12 +0000 2021, -117.434547, 47.667438, Padres NL West Champs confirmed 
shadieeerose, Fri Feb 05 19:47:14 +0000 2021, -120.446272, 46.597350, I was DREADING weighing in today because I had cheat meals all throughout my birthday weekend but I’m still down a… https://t.co/ub8LqbVmcY 
ChrisSwain3311, Fri Feb 05 19:47:21 +0000 2021, -120.583402, 44.145437, Am I the only one that doesn’t want the Mets to sign Bauer. If the numbers I’m seeing are correct. There is no way… https://t.co/PYUHDGX1iG 
AllisonLWoods, Fri Feb 05 19:47:23 +0000 2021, -120.882482, 47.273022, @RonSteslow can you add @Politicologypod to Spotify plz? 
tbtltheresa007, Fri Feb 05 19:47:28 +0000 2021, -122.330602, 47.614817, @jaketapper @mattgaetz That was a very inappropriate thing to say. Ew. 
pickedflowers, Fri Feb 05 19:47:35 +0000 2021, -120.882482, 47.273022, @yungoatmeal Tap room tonight babeeee 
opiejeanne, Fri Feb 05 19:47:42 +0000 2021, -122.074875, 47.743503, @psddluva4evah Thanks. We’ve only watched the first two, saving up for a binge. 
DrKSampsell, Fri Feb 05 19:47:51 +0000 2021, -122.489100, 48.198639, @sippikj @OakStreetHealth Huzzah! 
yakimajack50, Fri Feb 05 19:47:51 +0000 2021, -120.529760, 46.594223, I know it’s almost impossible to put out something you don’t have. Let’s get the vaccine out even if we have to mak… https://t.co/5FU032wn56 
SRTMC, Fri Feb 05 19:47:51 +0000 2021, -118.514457, 48.598877, Updated: SR 20, Sherman Pass is: compact snow and ice, with slush in places. Traction tires are advised, oversize loads prohibited. 
sugermew, Fri Feb 05 19:47:54 +0000 2021, -122.315290, 47.517643, Im Here Till 3:30 💕location tagged https://t.co/FCjOZXAuld 
AndreGM10, Fri Feb 05 19:47:58 +0000 2021, -122.330602, 47.614817, @WPDigital2 @90sfootball @robertmdaws @RothmansYears @FootballInT80s @PiolinCementero 🔝 
Ashleyirene9, Fri Feb 05 19:48:18 +0000 2021, -119.279662, 46.258178, Asher Roth is underrated https://t.co/wiYtExmUTZ 
hatrik10, Fri Feb 05 19:48:19 +0000 2021, -122.437379, 47.305305, 100% Proof is the answer!......... If the question is “what’s Mike been drinking?” 
mikechiliparlor, Fri Feb 05 19:48:24 +0000 2021, -122.330602, 47.614817, Get your Super Bowl Chili early. We are here for you Friday 11-9 and Saturday noon-9. https://t.co/vbCB9i0Pow 
kevphx83, Fri Feb 05 19:48:25 +0000 2021, -120.882482, 47.273022, As we  honor #BlackHistoryMonth  , I would like to acknowledge the contributions made by Fritz Pollard. The @NFL 1s… https://t.co/GvpT0xeCrM 
AnnaOmmen, Fri Feb 05 19:48:29 +0000 2021, -122.506779, 47.157103, Thank You @SenSchumer and @KamalaHarris ❤❤❤🙏🙏🙏 
RussellKimball9, Fri Feb 05 19:48:41 +0000 2021, -122.285462, 47.206440, @StSabinaSteele Yw love 
tmj_IDT_jobs, Fri Feb 05 19:48:43 +0000 2021, -112.014373, 43.423321, See our latest Idaho Falls, ID #Healthcare job opportunity and click the link in our bio to apply: Pharmacy Technic… https://t.co/nL2ldgQVRT 
ahammTNT, Fri Feb 05 19:48:43 +0000 2021, -122.455344, 47.242960, https://t.co/PnFUrQXzuS 
angelbl000d, Fri Feb 05 19:48:44 +0000 2021, -122.330602, 47.614817, @morgannmackk i literally just found the whole thing so slow and boring i couldn’t get like 20 min in 
sonialexandra, Fri Feb 05 19:48:45 +0000 2021, -122.330602, 47.614817, @stonewall1312 Don’t make me tap the sign... 
GOLDENGSTRlNG, Fri Feb 05 19:48:48 +0000 2021, -122.330602, 47.614817, I literally have never related to anything harder actually 
ahammTNT, Fri Feb 05 19:48:55 +0000 2021, -122.455344, 47.242960, DOYERS 
TheWineAlley, Fri Feb 05 19:49:03 +0000 2021, -122.149380, 47.445400, @drumrollwine back in stock! @ The Wine Alley https://t.co/tQS3NSzyiY 
Pengologist, Fri Feb 05 19:49:04 +0000 2021, -122.330602, 47.614817, 0.48 @CharityMiles for @nature_org.https://t.co/52VAflEhUrhttps://t.co/s1GUddKcZC https://t.co/qWBOpNdcOW 
cameronnjade, Fri Feb 05 19:49:25 +0000 2021, -122.765409, 47.039416, ppl that stay in shelton by choice are vv unnerving 
Chimaera000, Fri Feb 05 19:49:28 +0000 2021, -120.583402, 44.145437, @KikiDoodleTweet https://t.co/QYRduwtsmG 
ajaymarshall, Fri Feb 05 19:49:35 +0000 2021, -122.330800, 47.604600, We just dropped the music video for Come Clean!! Hit the link in our bio to watch the full vid!!🤘🏻🤘🏻 🎥… https://t.co/BvcNTEgYz6 
badandytweets, Fri Feb 05 19:49:42 +0000 2021, -122.330602, 47.614817, @TophGames Toph 🥺 I am always down to play games with you. 
krissymmurphy, Fri Feb 05 19:50:56 +0000 2021, -120.882482, 47.273022, 🙌🙌🙌🙌🙌 @jilliankmf 
AnnaOmmen, Fri Feb 05 19:50:59 +0000 2021, -122.506779, 47.157103, Hey @HarryJLennix Martian Manhunter your planet Mars is Amazing 👀 
carrieeleen, Fri Feb 05 19:51:00 +0000 2021, -122.330602, 47.614817, i know it’s all there i don’t gotta look back at it 😜*proceeds to look back at it* @mulatto https://t.co/CZI8KJxOoQ 
ElParienteGranD, Fri Feb 05 19:51:09 +0000 2021, -122.244980, 47.386370, Pa toda la Rancherada brava que nos sintoniza los viernes. Un Abrazon Xingon .#LaGranDRadio #LaRadioDeSeattle… https://t.co/eAbmwpi1nF 
pickedflowers, Fri Feb 05 19:51:15 +0000 2021, -120.882482, 47.273022, @braydensonline Okay why do I feel this so deeply though 
Coachvolleyball, Fri Feb 05 19:51:24 +0000 2021, -122.426906, 47.089585, @luckyjen1128 But neither is Ms. Peacock🤔🤔🤔 https://t.co/T3iK1XKziA 
Chimaera000, Fri Feb 05 19:51:37 +0000 2021, -120.583402, 44.145437, @cmpriest @KBSpangler I absolutely support you being careful. All of you. 
Pengologist, Fri Feb 05 19:51:42 +0000 2021, -122.330602, 47.614817, @PattyMurray I've worked every day since the pandemic began. I'm working today. I was given a $5 @Starbucks gift… https://t.co/yPjHSIH4e8 
yakimajack50, Fri Feb 05 19:51:52 +0000 2021, -120.529760, 46.594223, I think Al Franklin Should be drafted into the Democratic Party again. Bring Al Franklin back.  For what he did is… https://t.co/wEFsM6DT0v 
ScubaSteve_33, Fri Feb 05 19:52:05 +0000 2021, -117.282735, 47.649746, https://t.co/9X2xkJwfwY 
Austin76162286, Fri Feb 05 19:52:07 +0000 2021, -120.583402, 44.145437, 10 days without a cigarette 🚬 #LivingTobaccoFree 🚭 4 days away from the two week Mark.  I'll be out of quarantine… https://t.co/tZ84AXFRpw 
thealexfraserr, Fri Feb 05 19:52:13 +0000 2021, -120.882482, 47.273022, do what you say you’re going to do 
chriswarden420, Fri Feb 05 19:52:25 +0000 2021, -123.370838, 48.496225, R.I.P. General Kang 😞 
luthermcginnis, Fri Feb 05 19:52:32 +0000 2021, -122.227000, 47.382700, They’re being so nice to me at work..lol Last week vibes...Look at these prizes that I won.I can take these to C… https://t.co/EzTmezNb3P 
hellonature, Fri Feb 05 19:52:50 +0000 2021, -123.480062, 48.426763, @smithers1972 @CBCNews You are a piece of garbage for supporting terrorism. 
ColleenLindsay, Fri Feb 05 19:52:51 +0000 2021, -122.330602, 47.614817, @Nnedi @PeriwinkleChuk1 The cat has opinions. 
terileemcclain, Fri Feb 05 19:52:53 +0000 2021, -122.330602, 47.614817, We are going to need some good patriots to infiltrate the ranks of every white supremacy group and report on what’s… https://t.co/Hx1tJ2fcbC 
benjvminlong, Fri Feb 05 19:53:03 +0000 2021, -122.330602, 47.614817, i feel kinda bad for all the linkedin messages i never replied to cause it takes some courage to reach out to a com… https://t.co/4LZLD5mz4r 
1cocteau_twin, Fri Feb 05 19:53:14 +0000 2021, -122.231788, 47.959950, @braymuk @ByNemesisLabs @TehPirate_ UwU Thank u for thinking of me bway  ❤️ 
TheManuelBrown, Fri Feb 05 19:53:22 +0000 2021, -122.515936, 47.229863, DAMN IT!!!! 
chompy_jr, Fri Feb 05 19:53:31 +0000 2021, -120.882482, 47.273022, Proof of life. COVID fluff retreating. #asshole #bathroom #selfie #proofoflife #fcf badass hat by @RevolutionArt2 
E2EJobs, Fri Feb 05 19:53:34 +0000 2021, -122.478445, 47.241954, Start here. How far you go is up to you. Join the team today! Now hiring: Lab Technician 1 - AM and PM in #Tacoma,… https://t.co/3guO5AaZNS 
thisguytoph, Fri Feb 05 19:53:38 +0000 2021, -120.583402, 44.145437, @joshbednash Even if we set aside the sole of the foot issue for a moment...Thiago doesn’t turn into pressure here.… https://t.co/ZlJLf2BYeZ 
Pengologist, Fri Feb 05 19:53:43 +0000 2021, -122.330602, 47.614817, @PattyMurray I am an essential worker, helping to keep the supply chain working, and helping to safeguard others wh… https://t.co/FmxrWVQFKh 
13throgue, Fri Feb 05 19:53:49 +0000 2021, -122.231788, 47.959950, Found a box full of these. I should sell these. https://t.co/JzmV87vknn 
chompy_jr, Fri Feb 05 19:54:07 +0000 2021, -120.882482, 47.273022, @MightyFeklhr The sign says so. So yes! 
jrmyslv, Fri Feb 05 19:54:11 +0000 2021, -122.390912, 47.668330, @CashApp $jrmyslv 
HSNCareers, Fri Feb 05 19:54:14 +0000 2021, -122.349745, 47.615247, See our latest #Seattle, WA job and click to apply: Software Engineer II - AMP - https://t.co/2lhrCRND0i #IT 
nickforbrains, Fri Feb 05 19:54:15 +0000 2021, -122.178297, 47.325447, I can't work out why MyPillow guy is *that* rich off PILLOWS. It don't make sense. 
Jo99137164, Fri Feb 05 19:54:16 +0000 2021, -114.143262, 45.494552, @nprpolitics Obviously electing Reps,won't work fortheir constituents, their still afraid of trump,they are not g… https://t.co/LKctmzdZTn 
DKramer_, Fri Feb 05 19:54:22 +0000 2021, -120.882482, 47.273022, The rich get richer. 
yakimajack50, Fri Feb 05 19:54:22 +0000 2021, -120.529760, 46.594223, Well he even change the whole party. Once called the republican party. Is now called you got it the GQP. They are n… https://t.co/x7SJTlf9GL 
tmj_WAT_LABOR, Fri Feb 05 19:54:25 +0000 2021, -122.347380, 47.232412, We're hiring! Read about our latest job opening here: Tractor Technician - https://t.co/LgzzxqQJ7N #Labor #Tacoma, WA 
tmj_usa_sales, Fri Feb 05 19:54:25 +0000 2021, -120.740139, 47.751074, Have you ever had a role like "Sales Representative for Summit Surgical"? What did you like most about that job?… https://t.co/BU4AlRqd6t 
Austin76162286, Fri Feb 05 19:54:29 +0000 2021, -120.583402, 44.145437, #WolfCreekWelding my boss's names are Jeff and Mike. By next Sunday I'll be back in the welding shop. https://t.co/sSqINFsXfc 
terileemcclain, Fri Feb 05 19:54:30 +0000 2021, -122.330602, 47.614817, @Phil_Mattingly @bells110 @VP Bravo ( from last week ) https://t.co/5OT64TuGxa 
TheManuelBrown, Fri Feb 05 19:54:32 +0000 2021, -122.515936, 47.229863, Once the Dodgers got in the conversation you knew the Mets were in trouble. 
emmalarkins, Fri Feb 05 19:54:33 +0000 2021, -122.330602, 47.614817, This is exactly what people need to hear. Communities are a reflection and responsibility of those who build them.… https://t.co/UjVG1KlCPL 
SandRaider25, Fri Feb 05 19:54:34 +0000 2021, -120.583402, 44.145437, @BleacherNation I thought ownership (across all MLB) was too broke to pay? Or is that just a Cubs thing? 
kevphx83, Fri Feb 05 19:54:43 +0000 2021, -117.581930, 47.489532, @DBCOOPCWUFB Holding it down!✊🏿💯 
Herronisland, Fri Feb 05 19:54:51 +0000 2021, -120.882482, 47.273022, Dear attorneys:  I listened to one of their free CLEs and it was excellent and worth my time 
Karely_93, Fri Feb 05 19:54:55 +0000 2021, -120.583402, 44.145437, @fuego94 @itzayanagee Right it’s the fact that we took the extra steps to sneak it in 😂😂 
kittytat65, Fri Feb 05 19:54:57 +0000 2021, -120.882482, 47.273022, @DrewMcfarlane Thank you so much!!!💜💙💚🧡❤ 
badandytweets, Fri Feb 05 19:54:59 +0000 2021, -122.330602, 47.614817, @simplesammy @Twitch OMG congrats! This is wonderful news! 👏🏻👏🏻👏🏻👏🏻 
nd_queen22, Fri Feb 05 19:55:00 +0000 2021, -122.150570, 48.168642, @Soundtechdez Nice beautiful 
Dj_NuggyNugg, Fri Feb 05 19:55:07 +0000 2021, -122.455344, 47.242960, https://t.co/PUdR6DWOoL 
zzvnee, Fri Feb 05 19:55:08 +0000 2021, -122.330602, 47.614817, Anyone else casually rail nose beers and forget what they snap people? Sickk 
hatrik10, Fri Feb 05 19:55:14 +0000 2021, -122.437379, 47.305305, @THEChrisKessell “You can only spend your wages at our online company store. We’re going to call this Shitcoin” 
Karely_93, Fri Feb 05 19:55:19 +0000 2021, -120.583402, 44.145437, I’m craving Mexican bread 🤤 
tmj_IDB_sales, Fri Feb 05 19:55:24 +0000 2021, -115.834554, 43.828505, We're hiring! Read about our latest job opening here: Dollar Tree - Sales Floor Associate $16-$35/hr -… https://t.co/gIWqs5a3mO 
D1dain, Fri Feb 05 19:55:33 +0000 2021, -122.923516, 47.064528, 12 days :) 
cole_bertsche, Fri Feb 05 19:55:45 +0000 2021, -117.434547, 47.667438, Wtf... 
owlsrcute, Fri Feb 05 19:55:46 +0000 2021, -122.330602, 47.614817, @LindseyOtta Hahaha! Same. 
cjdahl, Fri Feb 05 19:55:51 +0000 2021, -122.330602, 47.614817, @IlhanMN Judy basks in the shade. https://t.co/TKC0BW0QMk 
terileemcclain, Fri Feb 05 19:55:53 +0000 2021, -122.330602, 47.614817, Stay off drugs folks! Seattle is a prime example. Folks are walking around like zombies 
jw_pincus, Fri Feb 05 19:55:56 +0000 2021, -122.232754, 47.565392, @AJCGlobal @ScottSingerUSA @usmayors @AJCGlobal do you have resources to contact or text to send to mayors who have… https://t.co/5jfUvuAYty 
romano47, Fri Feb 05 19:56:02 +0000 2021, -122.455344, 47.242960, “Made of desert, we arecontingencies in this country.We are told to move out of the wayor be remade. I warn her… https://t.co/e7XgQRWDrx 
deathcab4booty, Fri Feb 05 19:57:20 +0000 2021, -122.330602, 47.614817, @gaporwave you’re so cute 
gavrielle_music, Fri Feb 05 19:57:27 +0000 2021, -122.330602, 47.614817, Congrats to the homie @TepNoMusic on release day 🌴🌴🌴 https://t.co/NnScVjl5sz 
KelliX84, Fri Feb 05 19:57:28 +0000 2021, -122.205946, 47.773496, @tonypicinich @DevilsInsiders It not false as the majority of epidemiologists are saying the COVID-19 category 5 hu… https://t.co/xIUNj8j9hw 
double_whammied, Fri Feb 05 19:57:28 +0000 2021, -122.330602, 47.614817, This makes me really happy. 
Herronisland, Fri Feb 05 19:57:32 +0000 2021, -120.882482, 47.273022, I was under the impression that Jordan failed the exam. 
CjgbVictoria, Fri Feb 05 19:57:35 +0000 2021, -123.358379, 48.426730, Mediaeval ethnogenesis: "Its constant weaponisation (with rightists boiling it down to a rigid, stable biological e… https://t.co/EDLvmK8T48 
plr_jrx, Fri Feb 05 19:57:36 +0000 2021, -120.539923, 46.993279, 🤐 
Brittany_annnn1, Fri Feb 05 19:57:40 +0000 2021, -120.583402, 44.145437, Please pray for my dad. His liver isn’t doing well 😭🙏💙 
scotbull1, Fri Feb 05 19:57:42 +0000 2021, -123.589515, 46.984521, @TracyTTraffic Go Clark 
everyEarthquake, Fri Feb 05 19:57:52 +0000 2021, -121.910000, 46.881333, USGS reports a M1.36 earthquake, 16 km NE of Ashford, Washington on 2/5/21 @ 7:47:32 UTC https://t.co/XVN5VsqcNK #earthquake 
SamIamLax, Fri Feb 05 19:58:00 +0000 2021, -122.330602, 47.614817, He will be missed. 😢 
gavrielle_music, Fri Feb 05 19:58:10 +0000 2021, -122.330602, 47.614817, Congrats to the homie @TepNoMusic on release day 🌴https://t.co/NnScVjl5sz 
redhawkdining, Fri Feb 05 19:58:18 +0000 2021, -122.330602, 47.614817, With the #SuperBowl this weekend The Secret Menu is upping its game! 🏈🏉🏈 What team or dish do you think will win?… https://t.co/WU16HntTKz 
emilliedtke, Fri Feb 05 19:58:21 +0000 2021, -122.171287, 47.231717, No weak or soft here! Let's go! 
VSimmon72907992, Fri Feb 05 19:58:21 +0000 2021, -122.201905, 47.680319, @SamHeughan Or both 
cjbrinton, Fri Feb 05 19:58:22 +0000 2021, -122.357773, 47.818623, Bauer is too old to be pulling this schtick 
badandytweets, Fri Feb 05 19:58:23 +0000 2021, -122.330602, 47.614817, @Rnbw_Arcade @CriticalBard Yes!!!! We have no choice but to tune in. ✨🙌🏻✨ 
thisguytoph, Fri Feb 05 19:58:26 +0000 2021, -120.583402, 44.145437, @joshbednash ...by subverting expectations. But it starts by understanding basic concepts exceptionally well. 
kezeofficial, Fri Feb 05 19:58:35 +0000 2021, -117.434547, 47.667438, i only have one jokepenis 
Herronisland, Fri Feb 05 19:58:42 +0000 2021, -120.882482, 47.273022, Four great attachments! 
kayburk65246477, Fri Feb 05 19:58:44 +0000 2021, -122.330602, 47.614817, @ProjectLincoln Ok good. Thanks Lincoln Project. 
sa_mamea, Fri Feb 05 19:58:48 +0000 2021, -122.334461, 47.307568, @trewest_0501 Love you Acey😭😭knowing you? you was all about ur mom. Acey sau kakou eva n u always say i cant gotta… https://t.co/vA9WANzXQs 
AcabJackson, Fri Feb 05 19:58:51 +0000 2021, -122.330602, 47.614817, Question: What is the first thing that comes to mind when one thinks of Vermont? 
yakimajack50, Fri Feb 05 19:58:53 +0000 2021, -120.529760, 46.594223, The problem with buying a big con is that Is bitcoin. It is worse than the stock market. There is nothing in there.… https://t.co/m1AvOk67GF 
somecallmejuic3, Fri Feb 05 19:58:55 +0000 2021, -122.218075, 47.392311, In a minute I’m about to be really happy or disappointed 
tmj_sea_pharm, Fri Feb 05 19:58:56 +0000 2021, -122.199854, 47.496255, Want to work at CVS Health? We're hiring in #Renton, WA! Click for details: https://t.co/O8CS2UDomo #cvspharmtech 
SoapBoxRocket, Fri Feb 05 19:58:58 +0000 2021, -122.330602, 47.614817, “Space for Humanity (S4H) - Space and Storytelling” with @SpaceMeems, @space_rach, @jaredangaza, @DrueKataoka, Luci… https://t.co/qeMsO8bMU1 
KelliX84, Fri Feb 05 19:59:00 +0000 2021, -122.205946, 47.773496, @tonypicinich @DevilsInsiders Also, because this pandemic is never going to end and we will be under lockdowns prob… https://t.co/iuttWVLeWa 
bigbear5822, Fri Feb 05 19:59:00 +0000 2021, -122.923516, 47.064528, ??? 
EzioHanitore, Fri Feb 05 19:59:07 +0000 2021, -122.455344, 47.242960, @MPSomerstein @kalesalad bet he didnt even rape his own mother smh 😔 
LindseyTreffry, Fri Feb 05 19:59:12 +0000 2021, -117.434547, 47.667438, Reason No. 1,999 why one of my best friends is @Megan_L_Rowe’s son. Relatable interactions, such as this oneMe fr… https://t.co/YXH8FvF80Z 
kezeofficial, Fri Feb 05 19:59:17 +0000 2021, -117.434547, 47.667438, dicks are highkey so gross when they flacid they just be dangling there. like shuttup dummy lol 
klcseattle, Fri Feb 05 19:59:17 +0000 2021, -122.355632, 47.455421, Mmmm! I just received my order of #rubyroyale nuts! So GOOD! @latriceroyale was right. So glad I bought two cans! 💝… https://t.co/TKguRPoCa7 
MazvitaMaraire, Fri Feb 05 19:59:31 +0000 2021, -122.330602, 47.614817, @AJ_McCord Flexing! https://t.co/tWinWknium 
TheManuelBrown, Fri Feb 05 19:59:33 +0000 2021, -122.515936, 47.229863, Well @Mets fans that was fun. 
pestroud, Fri Feb 05 19:59:46 +0000 2021, -121.912123, 47.879126, @wheezy_dobby @LeahsLounge @TheChargerVoom @pekoeauts @TeaAndRoses21 @VanLathan @RealitySteve @Cosmopolitan… https://t.co/a9z1hjktR2 
ThomasW68436181, Fri Feb 05 19:59:48 +0000 2021, -122.455344, 47.242960, @RevEnFuego wow!  Just wow.  Episode 5 
